total ratings,growth (30 days),growth (60 days),price,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,average rating
80678661,2.9,7.9,0,61935712,4478738,2795172,1814999,9654037,4.33
35971961,2,3.1,0,26670566,2109631,1352610,893674,4945478,4.24
25836869,1.6,3.3,0,17850942,1796761,1066095,725429,4397640,4.08
17181659,4.1,6.6,0,12493668,1474319,741410,383478,2088781,4.27
14237554,0.8,1.8,0,9657878,2124544,1034025,375159,1045945,4.33
14048931,0.6,1.5,0,11532143,961926,448184,217044,889631,4.57
13020115,2.8,5.1,0,10079925,1210326,488294,261610,979958,4.47
11298789,6.3,12.3,0,6173970,1026476,770574,614021,2713745,3.65
9554877,0.3,0.6,0,6521348,996144,615544,343978,1077860,4.21
7392911,1.3,2.9,0,5231571,494013,343880,232468,1090976,4.16
6475640,0.4,1,0,4089508,765605,486813,250455,883255,4.07
6203689,0.5,1.1,0,4466149,597997,313912,165629,660000,4.3
5651287,0.3,0.6,0,3855710,524170,321185,183340,766880,4.15
5245027,2.3,4.5,0,4170692,464285,216008,93697,300341,4.55
4457338,6.1,13.7,0,3611434,335328,123915,59903,326756,4.54
4456347,0.1,0.2,0,3378135,575185,232942,67203,202879,4.54
4448938,0.5,1.2,0,3440564,524996,227009,72803,183564,4.57
4443546,2.1,3.9,0,3055909,371966,198693,100809,716166,4.11
4260419,0,0.2,0,2654404,542456,338551,178344,546662,4.07
4193941,0.3,0.7,0,2635805,449195,262329,160045,686564,4
4162892,0.6,1.1,0,2838747,455601,251087,133593,483861,4.21
4097530,0.2,0.5,0,2501119,430052,288167,152746,725443,3.93
4092418,0.7,1.6,0,2957405,485137,213306,107353,329214,4.38
3986647,0,0,0,2777555,615632,242394,81060,270003,4.39
3480214,0.5,1.3,0,2358135,414862,216256,104141,386816,4.22
3138199,1.4,2.8,0,2113861,259544,187573,117506,459713,4.1
3122764,0.3,0.7,0,2332450,404082,152315,61649,172265,4.49
3095661,0.2,0.5,0,2083084,380012,178324,91001,363237,4.2
3065898,1,2.2,0,2082550,278924,171490,101696,431235,4.14
3009445,1.6,2.5,0,2244023,267656,142141,65518,290104,4.37
2644544,0.4,1,0,1934943,269099,131665,67872,240963,4.36
2548363,3.6,5,0,1820998,207369,126706,77918,315369,4.23
2535575,0.1,0.2,0,1880942,249023,114674,59777,231156,4.38
2454177,0.5,0.9,0,1836934,280756,134864,54700,146921,4.47
2373080,0.1,0.3,0,1580784,267426,148706,72154,304008,4.16
2360988,0.1,0.2,0,1848725,211200,101098,42008,157954,4.5
2346568,2.1,5.3,0,1845954,194520,89226,48016,168849,4.49
2251406,0.6,1.4,0,1549864,252098,129978,63699,255764,4.23
2128244,0.1,0.4,0,1513093,250067,139165,47434,178483,4.35
2080344,0.1,0.2,0,1401485,187513,116968,64362,310015,4.11
2020959,1.8,3.6,0,1576195,207109,84764,37650,115239,4.53
1974616,0.6,1.5,0,1466866,206775,110728,50067,140177,4.42
1973715,0.3,0.6,0,1282907,125753,81759,55822,427472,3.9
1965892,3.1,6.6,0,1422180,173486,105861,61329,203032,4.3
1919424,1,1.9,0,1234779,252441,115916,62945,253340,4.12
1858700,0.1,0.2,0,1161298,217742,115623,65648,298387,4.01
1818951,0.1,0.3,0,1180853,114139,91343,66662,365952,3.92
1738922,3.6,9.3,0,1174773,178273,126894,71790,187190,4.2
1737515,2,3.6,0,1302473,180457,92856,40988,120740,4.44
1708074,0.2,0.4,0,1304290,207310,77538,26901,92032,4.53
1653621,0.1,0.2,0,1168969,143216,81504,45844,214085,4.21
1601034,1.1,2.4,0,1198546,140286,74131,40275,147794,4.38
1599574,4560.2,1.6,0,1038466,185237,105134,52050,218685,4.11
1598893,0,0,0,999022,145747,98957,53783,301381,3.93
1571129,0.7,1.3,0,865924,160729,131233,84164,329077,3.73
1514729,1.2,3.1,0,1071149,206983,87195,34301,115098,4.38
1499748,0.6,1.2,0,936132,189007,109850,56847,207909,4.06
1495928,1164.8,4.6,0,1080306,180336,78629,40266,116388,4.38
1492125,0.1,0.3,0,1095921,179535,80175,29311,107180,4.43
1476615,0.2,0.4,0,1101314,188833,80890,27732,77843,4.5
1418200,1.8,3.6,0,1072395,139566,73663,34742,97832,4.45
1370578,1,1.9,0,1010261,134117,67153,33167,125878,4.36
1295371,2,4.2,0,990050,88465,56207,35825,124820,4.38
