Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Current Ratio,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Fixed Assets,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Inventory,Liabilities,Long-Term Debt,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,For Year,Earnings Per Share,Estimated Shares Outstanding,Total Revenue
3068000000,-222000000,-1961000000,23,-1888000000,53,1330000000,0,127000000,78,1001000000,-1813000000,-2445000000,13402000000,58,14356000000,-569000000,869000000,580000000,473000000,7116000000,-1020000000,197000000,1285000000,483000000,-1571000000,-1876000000,2050000000,-1876000000,-4084000000,1124000000,148000000,1,2167000000,626000000,-2980000000,1509000000,11000000,15147000000,-141000000,10,31,8,72,-9462000000,0,12977000000,23510000000,7072000000,9011000000,-7987000000,24891000000,16904000000,2012,-5.6,335000000,24855000000
4975000000,-93000000,-2723000000,67,-3114000000,75,2175000000,0,5000000,104,1020000000,-1324000000,-2180000000,19259000000,59,15724000000,-346000000,2311000000,1012000000,-235000000,15353000000,2208000000,660000000,675000000,3799000000,-3814000000,-1834000000,1873000000,-1834000000,-4489000000,1560000000,1399000000,5,2299000000,1465000000,-2032000000,1711000000,481000000,14915000000,-56000000,8,80,7,96,-11296000000,0,12913000000,42278000000,14323000000,13806000000,-2731000000,45009000000,42278000000,2013,-11.25,163022222.2,26743000000
4668000000,-160000000,-150000000,143,-5311000000,60,1768000000,0,7000000,88,1342000000,4099000000,3212000000,23084000000,63,27030000000,330000000,2240000000,1004000000,-1026000000,16043000000,170000000,-146000000,3080000000,-315000000,-2911000000,2882000000,542000000,2882000000,2882000000,1771000000,4249000000,10,2060000000,898000000,-4559000000,817000000,601000000,10928000000,-500000000,8,159,7,80,-8562000000,-1052000000,20686000000,43225000000,11750000000,13404000000,2021000000,41204000000,43225000000,2014,4.02,716915422.9,42650000000
5102000000,352000000,-708000000,135,-6151000000,51,1085000000,0,6000000,73,1487000000,5496000000,4616000000,27510000000,73,29894000000,-2994000000,2249000000,863000000,-633000000,18330000000,2856000000,-604000000,6249000000,-1259000000,-5594000000,7610000000,-2662000000,7610000000,7610000000,1425000000,6204000000,15,2103000000,748000000,-4732000000,96000000,114000000,10178000000,95000000,11,82,19,67,-1230000000,-3846000000,21275000000,48415000000,9985000000,13605000000,5635000000,42780000000,48415000000,2015,11.39,668129938.5,40990000000
2409453000,-89482000,600000,32,-271182000,23,598111000,-260298000,7000,124,189544000,657915000,624074000,1292547000,50,3098036000,236404000,28845000,2308609000,426323000,604461000,177445000,540210000,685281000,127907000,-272978000,387670000,23311000,387670000,387670000,229866000,657315000,11,31833000,47614000,2667000,-33499000,-1796000,239021000,8213000,10,52,6,34,714900000,-18600000,2440721000,4613814000,3184200000,2559638000,1210694000,3403120000,4613814000,2012,5.29,73283553.88,6205003000
2609239000,-32428000,2698000,26,-195757000,40,1112471000,-203513000,7000,144,207795000,663016000,626398000,1286034000,50,3252146000,234640000,49872000,2556557000,172715000,1052668000,445679000,514360000,545250000,331217000,-362107000,391758000,-2088000,391758000,391758000,277595000,660318000,10,39649000,42761000,3683000,-27209000,-166350000,231116000,11011000,10,41,6,52,1089112000,-77184000,2591828000,5564774000,3989384000,2764785000,1516205000,4048569000,5564774000,2013,5.36,73089179.1,6493814000
3616038000,-48209000,3092000,25,-228446000,3,104671000,-227657000,7000,130,284693000,854802000,781394000,1432030000,45,4453613000,287569000,748125000,3936955000,194223000,1636311000,599619000,-1007800000,708991000,575911000,-2288237000,493825000,75598000,493825000,493825000,579825000,851710000,9,45737000,119589000,-12337000,-18039000,-2059791000,222368000,-63482000,8,39,5,22,1565341000,1424000,3601903000,7962358000,4741040000,3654416000,2002912000,5959446000,7962358000,2014,6.75,73159259.26,9843861000
3757085000,-21476000,-7484000,19,-234747000,2,90782000,-244096000,7000,130,269476000,818296000,752888000,1434577000,45,4422772000,279490000,687125000,4174768000,174667000,1213161000,-426322000,-13889000,689642000,-445952000,-253366000,473398000,30250000,473398000,473398000,597788000,825780000,8,82633000,77408000,-44059000,-13492000,-18619000,229354000,7423000,8,31,5,20,2021077000,-1491000,3596992000,8134565000,4940746000,3797477000,2460648000,5673917000,8134565000,2015,6.45,73395038.76,9737018000
36223000000,-1949000000,1156000000,30,-8165000000,93,14259000000,-973000000,19764000000,168,6757000000,50155000000,50155000000,16597000000,38,64304000000,13118000000,4179000000,1764000000,8320000000,16960000000,16896000000,3513000000,53666000000,-16379000000,-33774000000,37037000000,3394000000,37037000000,37037000000,24094000000,48999000000,29,5146000000,6882000000,-471000000,-1082000000,-1567000000,20208000000,1080000000,29,41,22,164,1.04E+11,-22330000000,10830000000,2.07E+11,73286000000,43658000000,1.24E+11,83451000000,2.07E+11,2013,40.03,925231076.7,1.71E+11
48649000000,-6452000000,980000000,35,-9571000000,40,13844000000,-76000000,23313000000,108,7946000000,53483000000,53483000000,20624000000,39,70537000000,13973000000,4142000000,2111000000,13408000000,28987000000,18266000000,-415000000,59713000000,-37549000000,-22579000000,39510000000,5210000000,39510000000,39510000000,31537000000,52503000000,29,3764000000,9806000000,1082000000,-1158000000,-3981000000,24826000000,167000000,29,48,22,105,87152000000,-44270000000,11993000000,2.32E+11,68531000000,63448000000,1.12E+11,1.20E+11,2.32E+11,2014,6.49,6087827427,1.83E+11
